Frame;ms on GPU;ConstantBuffersTime;SceneDepthPrePass;SceneShadows;
421;31.6588;3.2e-05;15.2564;15.1684;
422;30.9214;0;14.7886;15.1958;
423;30.878;0;14.6729;14.9321;
424;31.1554;0;15.0927;15.0246;
425;31.0847;0;15.0976;15.1204;
426;33.7101;0;16.433;16.2757;
427;31.1399;3.2e-05;15.0024;14.8489;
428;31.7206;0;15.3348;15.1723;
429;31.3244;0;15.0347;15.3195;
430;31.0346;3.2e-05;14.5144;15.2268;
431;30.231;3.2e-05;14.8015;14.5438;
432;33.5152;0;15.7716;17.3166;
433;31.7086;0;15.3132;15.4271;
434;31.0069;3.2e-05;15.1344;15.1882;
435;32.1247;3.2e-05;15.7528;15.1536;
436;31.3848;3.2e-05;14.8633;15.7163;
437;31.2131;0;15.1135;15.2188;
438;34.0302;3.2e-05;15.4393;17.3423;
